ich,I,我
"du, Sie (polite)",you (singular),你
er,he,他
wir,we,我們
"ihr, Sie (polite)",you (plural),你們
sie,they,他們
dies(es),this,這
"das, jenes (formal)",that,那
hier,here,這裡
"da, dort (formal)",there,那裡
wer,who,誰
was,what,什麼
wo,where,哪
wann,when,何時
wie,how,如何
nicht,not,不
alle,all,所有
viele,many,多
einige,some,一些
wenig,few,少
andere,other,其他
eins,one,一
zwei,two,二
drei,three,三
vier,four,四
fünf,five,五
groß,big,大
lang,long,長
"breit, weit",wide,寬
dick,thick,厚
schwer,heavy,重
klein,small,小
kurz,short,短
eng,narrow,窄
dünn,thin,薄
Frau,woman,女
Mann,man (male),男
Mensch,man (human),人
Kind,child,孩
"Frau, Ehefrau",wife,妻
"Mann, Ehemann",husband,夫
Mutter,mother,母
Vater,father,父
Tier,animal,動物
Fisch,fish,魚
Vogel,bird,鳥
Hund,dog,狗
Laus,louse,虱
Schlange,snake,蛇
Wurm,worm,蟲
Baum,tree,樹
Wald,forest,森
Stock,stick,枝
Frucht,fruit,果
Samen,seed,種
Blatt,leaf,葉
Wurzel,root,根
Rinde,bark (of a tree),樹皮
Blume,flower,花
Gras,grass,草
Seil,rope,繩
Haut,skin,膚
Fleisch,meat,肉
Blut,blood,血
Knochen,bone,骨
Fett,fat (noun),脂
Ei,egg,蛋
Horn,horn,角
Schwanz,tail,尾
Feder,feather,羽
Haar,hair,髮
Kopf,head,頭
Ohr,ear,耳
Auge,eye,眼
Nase,nose,鼻
Mund,mouth,口
Zahn,tooth,牙
Zunge,tongue,舌
Fingernagel,fingernail,指甲
Fuß,foot,腳
Bein,leg,腿
Knie,knee,膝
Hand,hand,手
Flügel,wing,翅
Bauch,belly,腹
Eingeweide,guts,腸
"Hals, Nacken",neck,頸
Rücken,back,背
Brust,breast,乳
Herz,heart,心
Leber,liver,肝
trinken,to drink,喝
essen,to eat,吃
beißen,to bite,咬
saugen,to suck,吸
spucken,to spit,吐
erbrechen,to vomit,嘔
blasen,to blow,吹
atmen,to breathe,呼吸
lachen,to laugh,笑
sehen,to see,看
hören,to hear,聽
"wissen, kennen",to know,知
denken,to think,想
riechen,to smell,嗅
fürchten,to fear,怕
schlafen,to sleep,睡
leben,to live,住
sterben,to die,死
töten,to kill,殺
kämpfen,to fight,鬥
jagen,to hunt,獵
schlagen,to hit,擊
schneiden,to cut,切
spalten,to split,分
stechen,to stab,刺
kratzen,to scratch,撓
graben,to dig,挖
schwimmen,to swim,游
fliegen,to fly,飛
gehen,to walk,走
kommen,to come,來
liegen (state),to lie (as in a bed),躺
sitzen (state),to sit,坐
stehen (state),to stand,站
drehen,to turn (intransitive),轉
fallen,to fall,落
geben,to give,給
halten,to hold,拿
quetschen,to squeeze,擠
reiben,to rub,磨
waschen,to wash,洗
wischen,to wipe,擦
ziehen,to pull,拉
drücken,to push,推
werfen,to throw,扔
binden,to tie,繫
nähen,to sew,縫
zählen,to count,計
sagen,to say,說
singen,to sing,唱
spielen,to play,玩
schweben,to float,浮
fließen,to flow,流
frieren,to freeze,凍
schwellen,to swell,腫
Sonne,sun,日
Mond,moon,月
Stern,star,星
Wasser,water,水
Regen,rain,雨
Fluss,river,河
See,lake,湖
Meer,sea,海
Salz,salt,鹽
Stein,stone,石
Sand,sand,沙
Staub,dust,塵
Erde,earth,地
Wolke,cloud,雲
Nebel,fog,霧
Himmel,sky,天
Wind,wind,風
Schnee,snow,雪
Eis,ice,冰
Rauch,smoke,煙
Feuer,fire,火
Asche,ash,灰
brennen,to burn,燒
Straße,road,路
Berg,mountain,山
rot,red,紅
grün,green,綠
gelb,yellow,黃
weiß,white,白
schwarz,black,黑
Nacht,night,夜
Tag,day,晝
Jahr,year,年
warm,warm,暖
kalt,cold,冷
voll,full,滿
neu,new,新
alt,old,舊
gut,good,好
schlecht,bad,壞
"faul, verrottet",rotten,腐
"schmutzig, dreckig",dirty,髒
gerade,straight,直
rund,round,圓
scharf,sharp (as a knife),尖
stumpf,dull (as a knife),鈍
glatt,smooth,滑
"nass, feucht",wet,濕
trocken,dry,乾
richtig,correct,對
nah,near,近
"weit, fern",far,遠
rechts,right,右
links,left,左
"bei, an",at,在
in,in,裡
mit,with,與
und,and,和
"wenn, ob",if,若
weil,because,因
Name,name,名
